stage,expected_tokens,text_length,mean_ms,median_ms,min_ms,max_ms,std_ms,token_count,tokens_generated,samples_generated,iterations,cold_mean_ms,cold_median_ms,warm_mean_ms,warm_median_ms,speedup
tokenization,10,12,0.10737180709838867,0.04315376281738281,0.03790855407714844,1.2564659118652344,0.27081631208423,10,,,20,,,,,
t3_first_token,10,,20.369672775268555,20.446300506591797,16.911029815673828,24.50871467590332,3.2465423362443486,,1,,5,,,,,
s3_first_chunk,10,,396.23560905456543,316.636323928833,267.702579498291,752.4118423461914,200.54655995992977,,,23040,5,,,,,
full_pipeline,10,,433.6814085642497,433.5639476776123,386.01016998291016,481.47010803222656,47.730077423881774,,,,3,,,,,
tokenization,20,41,0.06960630416870117,0.05626678466796875,0.05412101745605469,0.26226043701171875,0.04597419541946117,29,,,20,,,,,
t3_first_token,20,,24.422645568847656,21.52109146118164,17.981529235839844,41.38445854187012,9.637677478657162,,1,,5,,,,,
s3_first_chunk,20,,306.71911239624023,302.3488521575928,263.3063793182373,377.43258476257324,46.60866399341589,,,64320,5,,,,,
full_pipeline,20,,767.5394217173258,762.3641490936279,684.3295097351074,855.9246063232422,85.91453240471034,,,,3,,,,,
tokenization,50,121,0.12788772583007812,0.11277198791503906,0.10538101196289062,0.35691261291503906,0.05495929448930023,79,,,20,,,,,
t3_first_token,50,,25.962400436401367,21.40355110168457,19.821882247924805,45.09162902832031,10.736134250103374,,1,,5,,,,,
s3_first_chunk,50,,310.3771686553955,305.93132972717285,263.1094455718994,375.3337860107422,42.51191301253456,,,96000,5,,,,,
full_pipeline,50,,1644.4517771402996,1591.221809387207,1576.5125751495361,1765.6209468841553,105.19299484887847,,,,3,,,,,
tokenization,100,288,0.2728700637817383,0.2608299255371094,0.247955322265625,0.5192756652832031,0.05932019774967499,180,,,20,,,,,
t3_first_token,100,,33.611297607421875,31.191349029541016,29.663562774658203,45.22275924682617,6.5341372475968145,,1,,5,,,,,
s3_first_chunk,100,,298.48976135253906,286.87119483947754,269.146203994751,333.42981338500977,26.30753004621907,,,96000,5,,,,,
full_pipeline,100,,3246.2443510691323,3279.9832820892334,3027.724266052246,3431.025505065918,203.75649424564378,,,,3,,,,,
tokenization,200,976,0.6638884544372559,0.6432533264160156,0.6260871887207031,1.0640621185302734,0.095220643406696,598,,,20,,,,,
t3_first_token,200,,67.53873825073242,62.79277801513672,60.408592224121094,80.3380012512207,8.897465488996966,,1,,5,,,,,
s3_first_chunk,200,,313.5859489440918,313.6763572692871,296.3395118713379,323.9915370941162,10.694172529717621,,,96000,5,,,,,
full_pipeline,200,,3141.5443420410156,3155.876874923706,3083.069324493408,3185.6868267059326,52.788768352836335,,,,3,,,,,
cache_comparison,,,,,,,,,,,,1528.9462407430012,1519.2844867706299,1517.480993270874,1512.0035409927368,1.0075554471673576
